word,meaning
emperor,n. 皇帝
exact,adj. 准确的
traditional,adj. 传统的
lack,vt. 缺乏
pardon,n. 原谅
regent,n. 摄政王
burgeon,vt. 萌芽
argue,vi. 争论
barely,adv. 仅仅
methane,n. [有化] 甲烷
hierarchy,n. 层级
guidance,n. 指导
easy-going,adj. 随和的
electrical,adj. 有关电的
electronic,adj. 电子的

roll film,na. 摄影胶卷

philosophy,n. 哲学
chronic,adj. 慢性的
desirable,adj. 令人满意的
consortium,n. 财团
buckle,n. 皮带扣
curry,n. 咖哩粉
subliminal,n. 潜意识
chamber,n. （身体或器官内的）室
frequent,adj. 频繁的

prosperous,adj. 繁荣的
purpose,n. 目的
variety,n. 多样性
immigration,n. 外来移民
natural,adj. 自然的
bet,n. 打赌
consumer,n. 消费者
physician,n. [医] 医师
equal,n. 对手
resort,n. 凭借
leadership,n. 领导能力
equity,n. 公平
excavate,vt. 挖掘
nuclear,adj. 原子能的
mutual,adj. 共同的；相互的
hectare,n. 公顷
density,n. 密度
massive,adj. 大量的
congratulate,vt. 祝贺
companion,n. 同伴
rig,n. 装备
input,n. 投入
merely,adv. 仅仅
impart,vt. 给予（尤指抽象事物）
forfeit,n. 罚金
calorie,n. 卡路里
van,n. 先锋
ventilation,n. 通风设备
eternal,adj. 永恒的
invasion,n. 入侵
celebrate,vt. 庆祝
inspiring,v. 鼓舞
attendance,n. 出席
optional,adj. 可选择的
enable,vt. 使能够
departmental,adj. 部门的
heal,vt. 治愈
dismantle,vt. 拆除
wage,n. 工资
landscape,n. 风景
emotion,n. 情感
commonwealth,n. 联邦
newsletter,n. 时事通讯
periodical,n. 期刊
receptionist,n. 接待员
security,n. 安全
clip,vi. 修剪
apace,adv. 飞快地
yield,n. 产量
fair,n. 展览会，白皙的

list2
regional,adj. 地区的
secure,vt. 保护
preserve,n. 保护区
reject,n. 被弃之物或人
code,n. 代码
seek,vt. 寻求
item,n. 条款
crown,n. 王冠
effort,n. 努力
point,n. 要点
review,n. 回顾
fabrication,n. 制造
series,n. 系列
variation,n. 变化
margin,n. 边缘
distraction,n. 注意力分散
complicate,vt. 使复杂化
tram,n. 电车轨道
maturity,n. 成熟
download,vt. [计] 下载
refer,vt. 涉及
interview,n. 接见
extent,n. 程度
evacuate,vt. 疏散
stint,n. 节约；定额
embankment,n. 路堤
squash,n. 壁球
federation,n. 联合
surge,n. 汹涌；大浪
physical,
adj. [物] 物理的；身体的
justify,vt. 证明…是正当的
score,分数，评价
migration,n. 迁移
overweight,adj. 超重的
cooperation,n. 合作
zoological,adj. 动物的
stamp,n. 邮票
whistle,n. 口哨
detective,n. 侦探
occupy,vt. 占据
ceremony,n. 典礼
diagnose,vt. 诊断
denote,vt. 表示
chink,n. 裂缝
iris,n. [解剖] 虹膜
resource,n. 资源
entire,adj. 全部的
epitomise,vt. 象征
crocodile,n. 鳄鱼
summit,n. 顶点
ensure,vt. 保证
odour,n. 气味
accurate,adj. 精确的
tender,n. 偿付
willing,adj. 乐意的
perform,vt. 执行；完成；演奏
vi. 执行
seep,n. 小泉
ambassador,n. 大使
delinquency,n. 行为不良
deliberate,adj. 故意的
implication,n. 含义；暗示；牵连
broom,n. 扫帚
opponent,n. 对手
sponsor,n. 赞助者
decisive,adj. 决定性的；果断的
substantial,n. 本质
questionnaire,n. 问卷
viewpoint,n. 观点
routine,n. [计] 程序
nurture,vt. 养育
slight,n. 怠慢；轻蔑
adj. 轻微的
genetic,adj. 遗传的
similarly,adv. 同样地

list3
leak,n. 泄漏；漏洞
literature,n. 文学
suffer,vi. 遭受
impede,vt. 阻碍
spring,n. 春天
biological,adj. 生物的
deduce,vt. 推论
doctorate,n. 博士学位
absolute,n. 绝对
theoretical,adj. 理论的
internship,n. 实习生
slender,adj. 细长的
respondent,n. [法] 被告
surroundings,n. 环境
couple,n. 对
voluntary,n. 志愿者
submarine,n. 潜水艇
commercial,n. 商业广告， 商业的
notion,n. 概念
lavatory,n. 厕所
tablet,n. 碑
actual,adj. 真实的
fold,n. 折痕
instrument,n. 仪器
compulsory,n. 规定动作，义务的
irritation,n. 刺激；激怒
expense,n. 损失
muddle,vt. 混合
originate,vt. 引起
induce,vt. 诱导
exchange,n. 交换
disharmony,n. 不一致
cosset,n. 宠儿
unique,n. 独一无二的人或物，独特的
crossword,n. 纵横字谜
atomic,adj. 原子的
disagree,vi. 不同意
check-up,n. 检查
silt,n. 淤泥
inclusive,adj. 包括的
transcript,n. 成绩单；抄本
include,vt. 包含
reasonable,adj. 合理的
abode,n. 住处
gadget,n. 小玩意
emergency,n. 紧急情况
legacy,n. 遗赠
leisure,n. 闲暇
overlap,n. 重叠
counterpart,n. 副本
tune,n. 曲调
strike,n. 罢工；打击；殴打
ambiguous,adj. 模糊不清的
represent,vt. 代表
vanish,
vi. 消失
mechanism,n. 机制；原理
dispute,n. 辩论
furniture,n. 家具
typical,adj. 典型的
strengthen,vt. 加强
workaholic,n. 专心工作的人
unaware,adj. 不知道的
erosion,n. 侵蚀
exclusively,adv. 唯一地
feather,n. 羽毛
pronounceable,adj. 可发音的
bare,adj. 空的；赤裸的
luggage,n. 行李
hose,n. 软管
bulb,n. 电灯泡
internal,n. 内脏
ion,n. [化学] 离子

cruise,n. 巡航
illusion,n. 幻觉
shave,vi. 剃须

list4
incredible,adj. 难以置信的
